"Performance Monitor Statistics for Storage Array: Compunet-Cluster_storage - Date/Time: 6/28/26 10:46:47 AM - Polling interval in seconds: 3"


"Objects","Total IOs","Read %","Primary Read Cache Hit %","Primary Write Cache Hit %","SSD Read Cache Hit %","Current MBs/sec","Maximum MBs/sec","Current IOs/sec","Maximum IOs/sec","Minimum IOs/sec","Average IOs/sec","Minimum MBs/sec","Average MBs/sec","Current IO Latency","Maximum IO Latency","Minimum IO Latency","Average IO Latency"

"Capture Iteration: 1","","","","","","","","","","","","","","","","",""
"Date/Time: 6/28/26 10:46:47 AM","","","","","","","","","","","","","","","","",""
"Storage Array Compunet-Cluster_storage","12098.0","85.9","0.0","100.0","0.0","27.7","27.7","4032.0","4032.0","4032.0","4032.0","27.7","27.7","-","-","-","-"
"RAID Controller Module 0","6000.0","87.2","0.0","100.0","0.0","13.8","13.8","2000.0","2000.0","2000.0","2000.0","13.8","13.8","-","-","-","-"
"RAID Controller Module 1","6098.0","84.6","0.0","100.0","0.0","13.9","13.9","2032.0","2032.0","2032.0","2032.0","13.9","13.9","-","-","-","-"
"Disk Group 0","40.0","0.0","0.0","100.0","0.0","0.1","0.1","13.0","13.0","13.0","13.0","0.1","0.1","-","-","-","-"
"Disk Group 1","6098.0","84.6","0.0","100.0","0.0","13.9","13.9","2032.0","2032.0","2032.0","2032.0","13.9","13.9","-","-","-","-"
"Disk Group 2","5960.0","87.8","0.0","100.0","0.0","13.7","13.7","1986.0","1986.0","1986.0","1986.0","13.7","13.7","-","-","-","-"
"Virtual Disk Data_01_DIsk","6098.0","84.6","0.0","100.0","0.0","13.9","13.9","2032.0","2032.0","2032.0","2032.0","13.9","13.9","45.6","45.6","45.6","45.6"
"Virtual Disk Data_02_Disk","5960.0","87.8","0.0","100.0","0.0","13.7","13.7","1986.0","1986.0","1986.0","1986.0","13.7","13.7","43.0","43.0","43.0","43.0"
"Virtual Disk Data_Disk","40.0","0.0","0.0","100.0","0.0","0.1","0.1","13.0","13.0","13.0","13.0","0.1","0.1","4.4","4.4","4.4","4.4"
"Expansion Enclosure 0, Slot 0","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0","0.0","0.0","0.0"
